rung,model_name,window,pair,mae,rmse,dir_acc,oos_r2,n
Rung 2 – OLS Theory,ols_theory,digestion,ALL (pooled),0.0037769469635532695,0.005043179061048887,0.4625,-0.20090342842567144,160.0
Rung 3a – Ridge,ridge,digestion,USDEUR,0.004619012130708083,0.006042884509280875,0.41025641025641024,-0.5903163177207342,39.0
Rung 3a – Ridge,ridge,digestion,USDJPY,0.0041690298935731845,0.005689716302418656,0.5641025641025641,-0.48798967366943136,39.0
Rung 3a – Ridge,ridge,digestion,USDGBP,0.004756415002103449,0.006013460501753786,0.4358974358974359,-0.39607214936373336,39.0
Rung 3a – Ridge,ridge,digestion,USDCAD,0.003710441744182503,0.00479135817614038,0.5641025641025641,-0.4863796546404877,39.0
Rung 3a – Ridge,ridge,digestion,ALL (pooled),0.004263373577179912,0.005751541985096203,0.4807692307692308,-0.5374479003950341,156.0
Rung 3a – LASSO,lasso,digestion,USDEUR,0.003979219295659085,0.004911126734502432,0.5897435897435898,-0.05040603869905236,39.0
Rung 3a – LASSO,lasso,digestion,USDJPY,0.0036581312841558167,0.0047711622672298405,0.6153846153846154,-0.04632611977532308,39.0
Rung 3a – LASSO,lasso,digestion,USDGBP,0.003906888870422386,0.005174779487423395,0.5897435897435898,-0.033814534726864576,39.0
Rung 3a – LASSO,lasso,digestion,USDCAD,0.00326867609747442,0.004021972739848749,0.5128205128205128,-0.047347311824488036,39.0
Rung 3a – LASSO,lasso,digestion,ALL (pooled),0.0037013551127463807,0.0047338508401156085,0.5769230769230769,-0.041504037787708725,156.0
Rung 3a – ElasticNet,elasticnet,digestion,USDEUR,0.003979219295659085,0.004911126734502432,0.5897435897435898,-0.05040603869905236,39.0
Rung 3a – ElasticNet,elasticnet,digestion,USDJPY,0.0036581312841558167,0.0047711622672298405,0.6153846153846154,-0.04632611977532308,39.0
Rung 3a – ElasticNet,elasticnet,digestion,USDGBP,0.003906888870422386,0.005174779487423395,0.5897435897435898,-0.033814534726864576,39.0
Rung 3a – ElasticNet,elasticnet,digestion,USDCAD,0.00326867609747442,0.004021972739848749,0.5128205128205128,-0.047347311824488036,39.0
Rung 3a – ElasticNet,elasticnet,digestion,ALL (pooled),0.0037013551127463807,0.0047338508401156085,0.5769230769230769,-0.041504037787708725,156.0
Rung 3a – Huber,huber,digestion,USDEUR,0.004520410140632565,0.006117735897039231,0.48717948717948717,-0.6299578575363496,39.0
Rung 3a – Huber,huber,digestion,USDJPY,0.003629448837569754,0.005211902873785104,0.6666666666666666,-0.24856547059050849,39.0
Rung 3a – Huber,huber,digestion,USDGBP,0.004142680494783244,0.005876178281325427,0.5641025641025641,-0.33305744641082,39.0
Rung 3a – Huber,huber,digestion,USDCAD,0.003721112750053017,0.004913327249967394,0.5897435897435898,-0.5630175669115474,39.0
Rung 3a – Huber,huber,digestion,ALL (pooled),0.0038668028172332523,0.005437020509592603,0.5641025641025641,-0.3738956909924007,156.0
Rung 3b – GBR,gbr,digestion,USDEUR,0.0045028406070039455,0.006035783395397019,0.48717948717948717,-0.5865808890719009,39.0
Rung 3b – GBR,gbr,digestion,USDJPY,0.0035354204694654614,0.005016839702591225,0.5128205128205128,-0.15685557016158924,39.0
Rung 3b – GBR,gbr,digestion,USDGBP,0.004593900505321759,0.006508441414475621,0.5384615384615384,-0.6353583684952508,39.0
Rung 3b – GBR,gbr,digestion,USDCAD,0.0038206880512657157,0.0050759766623927035,0.5128205128205128,-0.6682138031939469,39.0
Rung 3b – GBR,gbr,digestion,ALL (pooled),0.004066013692712085,0.005602206212011824,0.4551282051282051,-0.4586463192371071,156.0
Rung 4 – +Keywords,rung4_kw,digestion,USDEUR,0.005086574244006428,0.006469944410871076,0.38461538461538464,-0.8230392762083476,39.0
Rung 4 – +Keywords,rung4_kw,digestion,USDJPY,0.004542709566723637,0.0060648251026486095,0.48717948717948717,-0.6906560188720041,39.0
Rung 4 – +Keywords,rung4_kw,digestion,USDGBP,0.004834325351885031,0.006246616245417871,0.4358974358974359,-0.5064287324586563,39.0
Rung 4 – +Keywords,rung4_kw,digestion,USDCAD,0.004048199301396986,0.005143573691361243,0.5128205128205128,-0.7129410198340047,39.0
Rung 4 – +Keywords,rung4_kw,digestion,ALL (pooled),0.004671352345620197,0.006035715297930437,0.4807692307692308,-0.6931261257459527,156.0
Rung 4 – +LLM Rubric,rung4_llm,digestion,USDEUR,0.006082061522508983,0.0077266830631449014,0.41025641025641024,-1.600046552304713,39.0
Rung 4 – +LLM Rubric,rung4_llm,digestion,USDJPY,0.005042044464839085,0.006845069980012744,0.5384615384615384,-1.1536467869647629,39.0
Rung 4 – +LLM Rubric,rung4_llm,digestion,USDGBP,0.005518122954088221,0.007114497958226425,0.5384615384615384,-0.954103020276942,39.0
Rung 4 – +LLM Rubric,rung4_llm,digestion,USDCAD,0.004961999935805575,0.005724798583249655,0.48717948717948717,-1.1219390235244515,39.0
Rung 4 – +LLM Rubric,rung4_llm,digestion,ALL (pooled),0.005486544388011605,0.006849894166842196,0.42948717948717946,-1.1807181692008348,156.0
Rung 4 – +Embeddings,rung4_emb,digestion,USDEUR,0.00781968016588064,0.009344841427359552,0.3076923076923077,-2.803109231871868,39.0
Rung 4 – +Embeddings,rung4_emb,digestion,USDJPY,0.006559505948827973,0.00866258561368636,0.48717948717948717,-2.449163425424987,39.0
Rung 4 – +Embeddings,rung4_emb,digestion,USDGBP,0.005490856605312037,0.006643135568695805,0.48717948717948717,-0.7037472525108595,39.0
Rung 4 – +Embeddings,rung4_emb,digestion,USDCAD,0.006014166408738092,0.0068161476179074264,0.41025641025641024,-2.008087408629821,39.0
Rung 4 – +Embeddings,rung4_emb,digestion,ALL (pooled),0.007644362201667998,0.009997717158714394,0.41025641025641024,-3.6455111973174494,156.0
